Country,Count
USA,437
United Kingdom,85
Canada,38
Germany,32
Sweden,31
Australia,31
Spain,28
Italy,27
France,21
Japan,21
Indonesia,20
Argentina,18
The Netherlands,16
Mexico,17
Brazil,12
Russia,11
Norway,6
Poland,5
Chile,5
Austria,5
Finland,5
New Zealand,4
Belgium,3
Malaysia,3
Hungary,2
Latvia,2
Switzerland,2
Paraguay,1
Occupied Palestinian Territory,1
Slovenia,1
South Africa,1
Puerto Rico,1
Greenland,1
Venezuela,1
Ukraine,1
Uruguay,1
Hong Kong,1
Isle of Man,1
Liechtenstein,1
Iceland,1
Taiwan,1
Colombia,1
Lithuania,1
China,1
Ecuador,1
Myanmar,1
Romania,1
Greece,1
Denmark,1
