School Year,Public 4-Year,Public 2-Year,Private 4-Year,Private 2-Year
1963-64,6965.6953879695,4725.7557875624,13574.9519107403,9849.0751572531
1964-65,7045.3814320504,4725.8532961931,14193.6720665587,10777.6121410047
1965-66,7219.226233587,4857.8989595086,14588.0409263845,11289.177134261
1966-67,7372.1867865032,4990.1242519063,14961.1537314122,11800.5896041559
1967-68,7405.5257853215,5367.4643613268,15126.1081487221,11986.6567866384
1968-69,7413.5333284754,5727.5300978496,15282.7717149102,12168.5690414108
1969-1970,7581.551069852,5824.3746393117,15671.0369806984,12206.0763997353
1970-1971,7721.9075217548,5812.1912146004,16041.7577898182,12247.533190686
1971-1972,7897.9945946477,6032.5807047388,16408.8475164728,12290.0479222357
1972-1973,8395.49376894,6469.0288650964,16706.4890665907,12284.1291648822
1973-1974,7919.5266942404,6321.553844504,15986.4001835873,11958.3553887399
1974-1975,7355.3977981794,5981.2774513274,15206.0644537655,11573.9282123894
1975-1976,7423.5889913279,5781.888,15304.5307483007,11309.3061818182
1976-1977,7627.6539799923,5875.5753523745,15676.4590556083,11710.6676112438
1977-1978,7527.0345496997,5871.5788306478,15661.8327247946,11627.4280225019
1978-1979,7243.7654895663,5710.7578867774,15567.9599856608,11447.1332939692
1979-1980,6935.7412394175,5428.2100704419,14937.8054365317,11179.1122644503
1980-1981,6811.2744029352,5413.7545504699,14938.8174552358,11491.8110575046
1981-1982,7057.5937499508,5467.2968859067,15561.0853745182,11668.2051300776
1982-1983,7533.6047215342,5632.4787097516,16796.814631558,12644.1798089327
1983-1984,7803.0838331353,5759.4597521941,17637.1371179966,12662.9318588716
1984-1985,8052.8693858724,6139.8823991515,18484.6708266545,13568.9921926265
1985-1986,8203.4342256672,6337.7993512043,19619.6680214505,13844.9343760626
1986-87,8605.8949614702,6216.3233602963,20880.8050137687,13277.3945043117
1987-88,8793.5894307975,6122.3949866656,21287.9771457308,14135.4836306727
1988-89,8930.609690803,6075.8060118536,21903.8606671836,15208.6388994927
1989-90,9065.1080946949,6011.2405021234,22381.7309829434,15797.4414716563
1990-91,9056.9710147895,5990.3152001128,22868.2182645304,16070.4246991844
1991-92,9530.2183031892,6064.2390989015,23866.3012696322,16124.2311487177
1992-93,9771.7100506353,6166.3988188678,24363.8271802875,16075.6433323856
1993-94,10071.2451678623,6322.4065818896,25163.7173946803,16465.465211529
1994-95,10259.7535248241,6362.9557824773,25536.5146365507,17182.0066190058
1995-96,10502.7015470504,6314.2380264646,26372.0242221503,17315.413704697
1996-97,10677.9686338486,6411.4609205957,26849.828551194,17404.2522711767
1997-98,10975.8253611659,6450.1386567469,27277.1211881166,18482.3580198682
1998-99,11286.1558254699,6473.8347404191,28020.8788201067,18727.1248948355
1999-2000,11307.2450158317,6464.0761094982,28338.7957599245,19193.702955951
2000-01,11433.8980589524,6393.873283752,28878.7288611236,19697.1940259662
2001-02,11939.6881343482,6670.0399847007,29726.5044393963,20546.5437959659
2002-03,12434.003876146,7116.046203416,30219.6307633804,22553.87165696
2003-04,13270.3862479372,7474.3136310345,31167.0673105617,24315.1756565732
2004-05,13789.5859146043,7694.3981008038,31692.8450722051,24496.6900832592
2005-06,14077.4160080473,7547.378322425,31777.639690434,24884.7070064928
2006-07,14503.4230796006,7723.2752067678,32773.773685201,22987.79881714
2007-2008,14674.9621708876,7622.8608522324,33031.6035543813,23697.5257485812
2008-2009,15371.0685295135,8156.4620945839,33705.6349275689,24493.6471868493
2009-2010,16026.8309120397,8222.5409979846,33611.5787193177,26133.9182051179
2010-2011,16657.067267765,8459.9031452495,34130.9982582852,24978.906318453
2011-2012,17084.3999116359,8715.0937711256,34234.0541135297,24048.530425727
2012-2013,17474.4580341351,8928.0509617294,35074.3939489784,23328.3667166183
