State,County,metro,Min. Wage,ftmw1,ftmw2,avtw1,avtw2,"aftw2
",fmr0,fmr1,fmr2,fmr3,fmr4,fmr0F1,fmr0F2,fmr0A1,fmr0A2,aftw2,fmr1F1,fmr1F2,fmr1A1,fmr1A2,aftw2,fmr2F1,fmr2F2,fmr2A1,fmr2A2,aftw2,fmr3F1,fmr3F2,fmr3A1,fmr3A2,aftw2,fmr4F1,fmr4F2,fmr4A1,fmr4A2,aftw2
AL,Autauga County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",628,663,788,1084,1288,49.97%,24.99%,57.94%,28.97%,26.83%,51.17%,25.58%,59.32%,29.66%,28.33%,62.71%,31.35%,72.70%,36.35%,33.67%,86.26%,43.13%,100.01%,50.01%,46.31%,102.49%,51.25%,118.83%,59.42%,55.03%
AL,Baldwin County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",494,643,762,1123,1318,39.31%,19.66%,45.58%,22.79%,21.11%,39.39%,19.69%,45.67%,22.83%,27.47%,60.64%,30.32%,70.30%,35.15%,32.56%,89.36%,44.68%,103.61%,51.80%,47.98%,104.88%,52.44%,121.60%,60.80%,56.31%
AL,Barbour County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",492,495,670,834,895,39.15%,19.58%,45.39%,22.70%,21.02%,51.88%,25.94%,60.15%,30.08%,21.15%,53.32%,26.66%,61.82%,30.91%,28.63%,66.37%,33.18%,76.95%,38.47%,35.63%,71.22%,35.61%,82.57%,41.29%,38.24%
AL,Bibb County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",545,652,773,1015,1142,43.37%,21.68%,50.28%,25.14%,23.29%,51.88%,25.94%,60.15%,30.08%,27.86%,61.51%,30.76%,71.32%,35.66%,33.03%,80.77%,40.38%,93.65%,46.82%,43.37%,90.88%,45.44%,105.36%,52.68%,48.79%
AL,Blount County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",545,652,773,1015,1142,43.37%,21.68%,50.28%,25.14%,23.29%,40.19%,20.09%,46.59%,23.30%,27.86%,61.51%,30.76%,71.32%,35.66%,33.03%,80.77%,40.38%,93.65%,46.82%,43.37%,90.88%,45.44%,105.36%,52.68%,48.79%
AL,Bullock County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",481,505,599,791,1061,38.28%,19.14%,44.38%,22.19%,20.55%,36.29%,18.14%,42.07%,21.04%,21.58%,47.67%,23.83%,55.26%,27.63%,25.59%,62.94%,31.47%,72.98%,36.49%,33.80%,84.43%,42.21%,97.89%,48.94%,45.33%
AL,Butler County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",453,456,599,870,894,36.05%,18.02%,41.79%,20.90%,19.35%,40.82%,20.41%,47.33%,23.67%,19.48%,47.67%,23.83%,55.26%,27.63%,25.59%,69.23%,34.62%,80.27%,40.13%,37.17%,71.14%,35.57%,82.48%,41.24%,38.20%
AL,Calhoun County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",491,513,675,872,908,39.07%,19.54%,45.30%,22.65%,20.98%,40.90%,20.45%,47.42%,23.71%,21.92%,53.71%,26.86%,62.28%,31.14%,28.84%,69.39%,34.69%,80.45%,40.23%,37.26%,72.25%,36.13%,83.77%,41.89%,38.79%
AL,Chambers County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",511,514,696,867,1034,40.66%,20.33%,47.15%,23.57%,21.83%,39.79%,19.89%,46.13%,23.07%,21.96%,55.38%,27.69%,64.21%,32.11%,29.74%,68.99%,34.50%,79.99%,40.00%,37.04%,82.28%,41.14%,95.40%,47.70%,44.18%
AL,Cherokee County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",481,500,599,883,894,38.28%,19.14%,44.38%,22.19%,20.55%,37.80%,18.90%,43.82%,21.91%,21.36%,47.67%,23.83%,55.26%,27.63%,25.59%,70.27%,35.13%,81.47%,40.73%,37.73%,71.14%,35.57%,82.48%,41.24%,38.20%
AL,Chilton County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",423,475,599,802,1061,33.66%,16.83%,39.03%,19.51%,18.07%,41.62%,20.81%,48.25%,24.13%,20.29%,47.67%,23.83%,55.26%,27.63%,25.59%,63.82%,31.91%,73.99%,37.00%,34.27%,84.43%,42.21%,97.89%,48.94%,45.33%
AL,Choctaw County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",520,523,708,882,1056,41.38%,20.69%,47.98%,23.99%,22.22%,36.92%,18.46%,42.81%,21.40%,22.35%,56.34%,28.17%,65.32%,32.66%,30.25%,70.19%,35.09%,81.37%,40.69%,37.68%,84.03%,42.02%,97.43%,48.71%,45.12%
AL,Clarke County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",461,464,599,836,891,36.68%,18.34%,42.53%,21.27%,19.70%,35.65%,17.82%,41.33%,20.67%,19.82%,47.67%,23.83%,55.26%,27.63%,25.59%,66.53%,33.26%,77.13%,38.57%,35.72%,70.90%,35.45%,82.21%,41.10%,38.07%
AL,Clay County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",445,448,599,803,806,35.41%,17.71%,41.06%,20.53%,19.01%,40.90%,20.45%,47.42%,23.71%,19.14%,47.67%,23.83%,55.26%,27.63%,25.59%,63.90%,31.95%,74.09%,37.04%,34.31%,64.14%,32.07%,74.36%,37.18%,34.44%
AL,Cleburne County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",510,514,695,866,929,40.58%,20.29%,47.05%,23.53%,21.79%,38.20%,19.10%,44.29%,22.14%,21.96%,55.31%,27.65%,64.12%,32.06%,29.69%,68.91%,34.46%,79.90%,39.95%,37.00%,73.93%,36.96%,85.71%,42.86%,39.69%
AL,Coffee County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",477,480,616,835,863,37.96%,18.98%,44.01%,22.00%,20.38%,37.96%,18.98%,44.01%,22.00%,20.51%,49.02%,24.51%,56.83%,28.42%,26.32%,66.45%,33.22%,77.04%,38.52%,35.68%,68.67%,34.34%,79.62%,39.81%,36.87%
AL,Colbert County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",474,477,609,813,816,37.72%,18.86%,43.73%,21.87%,20.25%,36.76%,18.38%,42.62%,21.31%,20.38%,48.46%,24.23%,56.19%,28.09%,26.02%,64.69%,32.35%,75.01%,37.50%,34.74%,64.93%,32.47%,75.29%,37.64%,34.86%
AL,Conecuh County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",459,462,599,883,886,36.53%,18.26%,42.35%,21.17%,19.61%,40.19%,20.09%,46.59%,23.30%,19.74%,47.67%,23.83%,55.26%,27.63%,25.59%,70.27%,35.13%,81.47%,40.73%,37.73%,70.50%,35.25%,81.74%,40.87%,37.85%
AL,Coosa County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",481,505,599,746,801,38.28%,19.14%,44.38%,22.19%,20.55%,36.84%,18.42%,42.72%,21.36%,21.58%,47.67%,23.83%,55.26%,27.63%,25.59%,59.36%,29.68%,68.83%,34.41%,31.87%,63.74%,31.87%,73.90%,36.95%,34.22%
AL,Covington County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",460,463,599,866,961,36.60%,18.30%,42.44%,21.22%,19.65%,35.25%,17.63%,40.87%,20.44%,19.78%,47.67%,23.83%,55.26%,27.63%,25.59%,68.91%,34.46%,79.90%,39.95%,37.00%,76.47%,38.24%,88.66%,44.33%,41.06%
AL,Crenshaw County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",440,443,599,845,894,35.01%,17.51%,40.60%,20.30%,18.80%,39.79%,19.89%,46.13%,23.07%,18.93%,47.67%,23.83%,55.26%,27.63%,25.59%,67.24%,33.62%,77.96%,38.98%,36.10%,71.14%,35.57%,82.48%,41.24%,38.20%
AL,Cullman County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",490,500,611,770,817,38.99%,19.50%,45.21%,22.60%,20.94%,37.40%,18.70%,43.36%,21.68%,21.36%,48.62%,24.31%,56.37%,28.19%,26.11%,61.27%,30.64%,71.04%,35.52%,32.90%,65.01%,32.51%,75.38%,37.69%,34.91%
AL,Dale County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",400,470,600,874,1050,31.83%,15.92%,36.90%,18.45%,17.09%,35.25%,17.63%,40.87%,20.44%,20.08%,47.75%,23.87%,55.36%,27.68%,25.64%,69.55%,34.77%,80.64%,40.32%,37.34%,83.55%,41.78%,96.87%,48.44%,44.86%
AL,Dallas County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",382,443,599,766,977,30.40%,15.20%,35.24%,17.62%,16.32%,43.21%,21.60%,50.10%,25.05%,18.93%,47.67%,23.83%,55.26%,27.63%,25.59%,60.95%,30.48%,70.67%,35.34%,32.73%,77.75%,38.87%,90.14%,45.07%,41.74%
AL,DeKalb County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",418,543,703,879,1121,33.26%,16.63%,38.57%,19.28%,17.86%,52.76%,26.38%,61.17%,30.58%,23.20%,55.94%,27.97%,64.86%,32.43%,30.04%,69.95%,34.97%,81.10%,40.55%,37.56%,89.20%,44.60%,103.43%,51.71%,47.89%
AL,Elmore County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",628,663,788,1084,1288,49.97%,24.99%,57.94%,28.97%,26.83%,40.19%,20.09%,46.59%,23.30%,28.33%,62.71%,31.35%,72.70%,36.35%,33.67%,86.26%,43.13%,100.01%,50.01%,46.31%,102.49%,51.25%,118.83%,59.42%,55.03%
AL,Escambia County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",484,505,599,746,870,38.51%,19.26%,44.65%,22.33%,20.68%,38.04%,19.02%,44.10%,22.05%,21.58%,47.67%,23.83%,55.26%,27.63%,25.59%,59.36%,29.68%,68.83%,34.41%,31.87%,69.23%,34.62%,80.27%,40.13%,37.17%
AL,Etowah County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",370,478,622,775,874,29.44%,14.72%,34.14%,17.07%,15.81%,40.19%,20.09%,46.59%,23.30%,20.42%,49.50%,24.75%,57.39%,28.69%,26.58%,61.67%,30.84%,71.50%,35.75%,33.11%,69.55%,34.77%,80.64%,40.32%,37.34%
AL,Fayette County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",481,505,599,786,1061,38.28%,19.14%,44.38%,22.19%,20.55%,35.25%,17.63%,40.87%,20.44%,21.58%,47.67%,23.83%,55.26%,27.63%,25.59%,62.55%,31.27%,72.52%,36.26%,33.58%,84.43%,42.21%,97.89%,48.94%,45.33%
AL,Franklin County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",440,443,599,746,894,35.01%,17.51%,40.60%,20.30%,18.80%,39.23%,19.62%,45.48%,22.74%,18.93%,47.67%,23.83%,55.26%,27.63%,25.59%,59.36%,29.68%,68.83%,34.41%,31.87%,71.14%,35.57%,82.48%,41.24%,38.20%
AL,Geneva County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",461,493,635,847,1047,36.68%,18.34%,42.53%,21.27%,19.70%,45.52%,22.76%,52.77%,26.39%,21.06%,50.53%,25.27%,58.59%,29.29%,27.13%,67.40%,33.70%,78.15%,39.07%,36.19%,83.32%,41.66%,96.60%,48.30%,44.73%
AL,Greene County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",450,572,757,950,1079,35.81%,17.90%,41.52%,20.76%,19.23%,45.52%,22.76%,52.77%,26.39%,24.44%,60.24%,30.12%,69.84%,34.92%,32.34%,75.60%,37.80%,87.65%,43.82%,40.59%,85.86%,42.93%,99.55%,49.78%,46.10%
AL,Hale County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",450,572,757,950,1079,35.81%,17.90%,41.52%,20.76%,19.23%,37.00%,18.50%,42.90%,21.45%,24.44%,60.24%,30.12%,69.84%,34.92%,32.34%,75.60%,37.80%,87.65%,43.82%,40.59%,85.86%,42.93%,99.55%,49.78%,46.10%
AL,Henry County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",435,465,599,883,987,34.62%,17.31%,40.13%,20.07%,18.59%,39.23%,19.62%,45.48%,22.74%,19.87%,47.67%,23.83%,55.26%,27.63%,25.59%,70.27%,35.13%,81.47%,40.73%,37.73%,78.54%,39.27%,91.06%,45.53%,42.17%
AL,Houston County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",461,493,635,847,1047,36.68%,18.34%,42.53%,21.27%,19.70%,40.19%,20.09%,46.59%,23.30%,21.06%,50.53%,25.27%,58.59%,29.29%,27.13%,67.40%,33.70%,78.15%,39.07%,36.19%,83.32%,41.66%,96.60%,48.30%,44.73%
