State,Min. Wage,ftmw1,ftmw2,avtw1,avtw2,"aftw2
",fmr0,fmr1,fmr2,fmr3,fmr4,fmr0F1,fmr0F2,fmr0A1,fmr0A2,fmr0M2,fmr1F1,fmr1F2,fmr1A1,fmr1A2,fmr1M2,fmr2F1,fmr2F2,fmr2A1,fmr2A2,fmr2M2,fmr3F1,fmr3F2,fmr3A1,fmr3A2,fmr3M2,fmr4F1,fmr4F2,fmr4A1,fmr4A2,fmr4A2
AL,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",$486.45,$524.31,$656.88,$879.66,$989.04,38.71%,19.35%,44.88%,22.44%,20.78%,41.72%,20.86%,48.37%,24.19%,22.40%,52.27%,26.14%,60.60%,30.30%,28.07%,70.00%,35.00%,81.16%,40.58%,37.58%,78.70%,39.35%,91.25%,45.63%,42.26%
AK,$8.75,"$18,200.00","$36,400.00","$15,697.50","$31,395.00","$33,897.50",$724.38,$825.72,"$1,053.48","$1,408.62","$1,621.72",47.76%,23.88%,55.38%,27.69%,25.64%,54.44%,27.22%,63.12%,31.56%,29.23%,69.46%,34.73%,80.53%,40.27%,37.29%,92.88%,46.44%,107.68%,53.84%,49.87%,106.93%,53.46%,123.97%,61.99%,57.41%
AZ,$8.05,"$16,744.00","$33,488.00","$14,441.70","$28,883.40","$31,185.70",$539.53,$619.53,$796.87,"$1,106.20","$1,290.13",38.67%,19.33%,44.83%,22.42%,20.76%,44.40%,22.20%,51.48%,25.74%,23.84%,57.11%,28.55%,66.21%,33.11%,30.66%,79.28%,39.64%,91.92%,45.96%,42.57%,92.46%,46.23%,107.20%,53.60%,49.64%
AR,$7.50,"$15,600.00","$31,200.00","$13,455.00","$26,910.00","$29,055.00",$447.67,$476.28,$620.08,$834.11,$966.49,34.44%,17.22%,39.93%,19.96%,18.49%,36.64%,18.32%,42.48%,21.24%,19.67%,47.70%,23.85%,55.30%,27.65%,25.61%,64.16%,32.08%,74.39%,37.20%,34.45%,74.35%,37.17%,86.20%,43.10%,39.92%
CA,$9.00,"$18,720.00","$37,440.00","$16,146.00","$32,292.00","$34,866.00",$749.00,$862.14,"$1,115.64","$1,579.36","$1,844.74",48.01%,24.01%,55.67%,27.83%,25.78%,55.27%,27.63%,64.08%,32.04%,29.67%,71.52%,35.76%,82.92%,41.46%,38.40%,101.24%,50.62%,117.38%,58.69%,54.36%,118.25%,59.13%,137.10%,68.55%,63.49%
CO,$8.23,"$17,118.40","$34,236.80","$14,764.62","$29,529.24","$31,883.02",$590.63,$658.63,$851.30,"$1,173.91","$1,357.72",41.40%,20.70%,48.00%,24.00%,22.23%,46.17%,23.08%,53.53%,26.76%,24.79%,59.68%,29.84%,69.19%,34.59%,32.04%,82.29%,41.15%,95.41%,47.70%,44.18%,95.18%,47.59%,110.35%,55.17%,51.10%
CT,$9.15,"$19,032.00","$38,064.00","$16,415.10","$32,830.20","$35,447.10",$789.67,$925.02,"$1,179.63","$1,487.37","$1,717.56",49.79%,24.89%,57.73%,28.86%,26.73%,58.32%,29.16%,67.62%,33.81%,31.32%,74.38%,37.19%,86.23%,43.12%,39.93%,93.78%,46.89%,108.73%,54.37%,50.35%,108.30%,54.15%,125.56%,62.78%,58.15%
DE,$8.25,"$17,160.00","$34,320.00","$14,800.50","$29,601.00","$31,960.50",$725.33,$839.67,"$1,042.33","$1,388.33","$1,617.33",50.72%,25.36%,58.81%,29.40%,27.23%,58.72%,29.36%,68.08%,34.04%,31.53%,72.89%,36.45%,84.51%,42.26%,39.14%,97.09%,48.54%,112.56%,56.28%,52.13%,113.10%,56.55%,131.13%,65.57%,60.72%
FL,$8.05,"$16,744.00","$33,488.00","$14,441.70","$28,883.40","$31,185.70",$609.13,$678.48,$842.33,"$1,138.19","$1,316.33",43.66%,21.83%,50.61%,25.31%,23.44%,48.62%,24.31%,56.38%,28.19%,26.11%,60.37%,30.18%,69.99%,35.00%,32.41%,81.57%,40.79%,94.58%,47.29%,43.80%,94.34%,47.17%,109.38%,54.69%,50.65%
GA,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",$515.64,$549.65,$686.48,$918.28,"$1,066.79",41.03%,20.52%,47.57%,23.79%,22.03%,43.74%,21.87%,50.71%,25.36%,23.48%,54.63%,27.31%,63.34%,31.67%,29.33%,73.07%,36.54%,84.72%,42.36%,39.23%,84.89%,42.45%,98.42%,49.21%,45.58%
HI,$7.75,"$16,120.00","$32,240.00","$13,903.50","$27,807.00","$30,023.50",$847.20,$943.00,"$1,218.00","$1,695.20","$1,939.00",63.07%,31.53%,73.12%,36.56%,33.86%,70.20%,35.10%,81.39%,40.69%,37.69%,90.67%,45.33%,105.12%,52.56%,48.68%,126.19%,63.10%,146.31%,73.16%,67.75%,144.34%,72.17%,167.35%,83.68%,77.50%
ID,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",$482.64,$527.98,$674.09,$957.32,"$1,143.82",38.41%,19.20%,44.53%,22.26%,20.62%,42.01%,21.01%,48.71%,24.36%,22.56%,53.64%,26.82%,62.19%,31.10%,28.80%,76.18%,38.09%,88.32%,44.16%,40.90%,91.02%,45.51%,105.53%,52.77%,48.87%
IL,$8.25,"$17,160.00","$34,320.00","$14,800.50","$29,601.00","$31,960.50",$476.48,$558.90,$714.43,$946.00,"$1,082.84",33.32%,16.66%,38.63%,19.32%,17.89%,39.08%,19.54%,45.31%,22.66%,20.98%,49.96%,24.98%,57.92%,28.96%,26.82%,66.15%,33.08%,76.70%,38.35%,35.52%,75.72%,37.86%,87.80%,43.90%,40.66%
